audio_file;transcription;translation
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000094_000000.wav;Tom's mouth trembled.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000011_000015.wav;And the next day Arthur satisfied all the claimants upon Geraint with bountiful gifts.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000005_000001.wav;"""If your black skirt were sponged and pressed and re hung, it would do very well.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000036_000001.wav;"""He left everything behind.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000035_000001.wav;The spring in the present case was the artistic commendation she deserved and craved.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000010_000001.wav;"The emphatic ""we"" and ""us"" were not lost on him. But his face was preternaturally grave when he spoke.";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67804\6455_67804_000005_000006.wav;When I find a fellow who's neither knave nor fool, I stick to him.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000027_000000.wav;"""What was that?"" I inquired, without knowing what his answer would be.";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000040_000000.wav;mr Bingham and Hal had been watching it all, anxiously.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000007_000000.wav;"""Miss Billy, Miss Billy, you're an angel straight from heaven, you are-you are!";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000022_000002.wav;Above all things be pure minded as the snow.;
opus_datasets/extracted/LibriTTS_R/dev-other\6467\94831\6467_94831_000020_000000.wav;"""Not at all.";
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000025_000000.wav;"""Yes.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000088_000001.wav;"""Oh, Phronsie, you haven't begun!""";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000009_000003.wav;"""I will do so,"" said he; ""but it is strange to me that thou shouldst go so suddenly.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000006_000000.wav;The Senator now turned his attention to matters touching the souls of his people.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000030_000000.wav;"""And what of your duty, your service, pray?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000020_000000.wav;"""No doubt,"" growled the Chief.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000019_000000.wav;"""The first who touches me----"" he said, brandishing a handspike. Hatteras approached him.";
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000042_000001.wav;He thought that he could not bear to take her hand.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000024_000007.wav;Her imagination began to suggest all manner of gruesome possibilities to her.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000021_000002.wav;And yet practically all of them remain separate and created beings.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000023_000002.wav;And yet the meaning was staring him in the face.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\157641\1650_157641_000025_000002.wav;Consequently, men had either to indulge in the practice out of doors, or else, as you say, sneak away to the kitchen when the servants had gone to bed, and puff up the chimney.;
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000015_000004.wav;Am I to marry you for my food and shelter?;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000021_000002.wav;"It is a rare sight now a days to see one of these white cobras.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000014_000011.wav;His world is a place of opulence, not of poverty.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000003_000001.wav;The men and the dogs were divided into hunting parties, and the dogs were let loose upon the stag.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000038_000000.wav;"""One, two,"" said Polly, counting, ""why, I thought I'd written three; well, this one is most finished, Jasper.""";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000019_000019.wav;As for Cordelia, she went insane with remorse and was shut up in a lunatic asylum.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\157641\1650_157641_000009_000000.wav;The Duke's prejudices were stronger than his facts.;
opus_datasets/extracted/LibriTTS_R/dev-other\3915\57461\3915_57461_000017_000003.wav;"You have done a hateful deed; but am I not a priest, and have I not forsaken the things of this world?";
opus_datasets/extracted/LibriTTS_R/dev-other\4570\14911\4570_14911_000009_000005.wav;SHOULDERS-Clean and slightly sloping.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\105815\7697_105815_000030_000000.wav;Christian.--My name is now Christian, but at first it was Graceless.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000027_000001.wav;Oates has gradually persuaded us that this is insufficient, and our pony food weight has gone up to forty five tons, besides three or four tons for immediate use.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000029_000006.wav;"""Do you really believe,"" asked young Holyoake to the clergyman, ""that what we ask in faith we shall receive?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1650\173552\1650_173552_000012_000009.wav;"But no, it can't be true that I am in Moscow,"" he suddenly thought.";
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000011_000000.wav;"""It is hard to be poor.";
opus_datasets/extracted/LibriTTS_R/dev-other\4570\14911\4570_14911_000009_000006.wav;BODY-Short between the couplings, well let down in chest, ribs fairly well sprung and well ribbed up, with powerful and not tucked up loins. HIND QUARTERS-Very muscular about the thighs, stifles and hocks well bent, and hocks well let down.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000051_000001.wav;He had not been slow to mark that swift lowering of her eyelids.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000013_000002.wav;Haven't you heard of the Best Bed Stone Company?';
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000012_000000.wav;When we come to the more important chapters about Jesus, we meet with greater difficulties.;
opus_datasets/extracted/LibriTTS_R/dev-other\1585\131718\1585_131718_000017_000003.wav;"The first year, eighteen eighty one, was naturally that which witnessed the greatest rush of visitors; and the building hardly ever closed its doors till midnight.";
opus_datasets/extracted/LibriTTS_R/dev-other\1585\131718\1585_131718_000012_000007.wav;After feeling around for some days I got a clew how to do it.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000025_000001.wav;"""I insist upon that.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000026_000001.wav;The uninterrupted cracking of the ice, added to the noise of the steamer, was like sighs or groans.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000015_000000.wav;"WHEN eight days had come and gone, my amendment was so slight that life itself became almost a burden to me; indeed I had been more than fifty days in that great suffering.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000018_000000.wav;"""So this poor little boy grew up to be a man, and had to go out in the world, far from home and friends to earn his living.";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000056_000006.wav;Things for the moment appeared very black.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000007_000005.wav;Their ups and downs are like the ups and downs in a fight between cat and dog.;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\24733\4570_24733_000004_000000.wav;We have now granted, therefore, thought not constituting the idea of God, and, accordingly, the idea of God does not naturally follow from its nature in so far as it is absolute thought (for it is conceived as constituting, and also as not constituting, the idea of God), which is against our hypothesis.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000019_000004.wav;I asked Ruby Gillis if she knew anything about how men proposed because I thought she'd likely be an authority on the subject, having so many sisters married.;
opus_datasets/extracted/LibriTTS_R/dev-other\2506\11278\2506_11278_000019_000001.wav;S.--You were rather stupid last week, don't you think?;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000016_000005.wav;"Do you think so, Miss Virginia?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1585\157660\1585_157660_000024_000000.wav;William, to the great amazement of the dealer, flung a guinea in the center pot, which was immediately tapped by Jack, while the others looked on in silent expectation.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000042_000000.wav;"mr Hardy, fortunately, has the genius to express the burden and the mystery even of a world grey with rain and commonplace in achievement. There is a beauty of sorrow in these poems in which ""life with the sad, seared face"" mirrors itself without disguise.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000001_000003.wav;The spring was abroad in the land and Marilla's sober, middle aged step was lighter and swifter because of its deep, primal gladness.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000011_000000.wav;"""mr Bertram is up and dressed, ma'am.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000005_000000.wav;"""I feel a good deal relieved, now, a great deal relieved.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000031_000000.wav;"""Hold your tongue, Petya, what a goose you are!""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000007_000001.wav;Oh, I'm so glad you came!;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000076_000000.wav;Billy laughed softly.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000066_000001.wav;"""They'll be four of you to one of me; and I don't like it, and you can kiss the Book on that.""";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000004_000006.wav;Lelechka was her mother's only child.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000065_000000.wav;"There was a long silence; then, a little breathlessly, Billy asked:";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000068_000000.wav;And the noise was again heard of a window closing.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000021_000002.wav;And what do you think it was?;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000018_000000.wav;"""Oh, I see,"" said Bert, ""the line will stretch then, and the breeches buoy will go out on a pulley.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6467\62797\6467_62797_000002_000004.wav;The root should be collected on a new moon day which falls on a Sunday.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000033_000000.wav;"""What nonsense!";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000011_000002.wav;During this transfer he felt a little stronger and was able to look about him and even speak.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000001_000004.wav;"The University bill was safe, now; he could leave it without fear; it needed his presence and his watching no longer.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000002_000000.wav;But the Countess never gave way an inch.;
opus_datasets/extracted/LibriTTS_R/dev-other\4153\61735\4153_61735_000022_000009.wav;"Here goes?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1651\136854\1651_136854_000045_000002.wav;"You are, however, not to make unkind inferences, when I forbear to reply to your kindness; for be assured, I never receive a letter from you without great pleasure, and a very warm sense of your generosity and friendship, which I heartily blame myself for not cultivating with more care.";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000089_000000.wav;A doctor was called, and everything was done that is usual on such occasions-but the inevitable happened.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000010_000000.wav;The Senator took his seat in the pulpit, with the minister on one side of him and the Superintendent of the Sunday School on the other.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245715\7697_245715_000017_000004.wav;But in that state nothing would have been unnatural in human generation.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000019_000022.wav;"""I will prove that I can,"" said she.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000030_000001.wav;"""What nasty brutes they are!";
opus_datasets/extracted/LibriTTS_R/dev-other\3915\57461\3915_57461_000009_000000.wav;"They, of course, were only too glad to avoid any hindrance to their onward journey, and all with one voice agreed to what the Ronin had proposed; and so the matter was settled.";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000004_000007.wav;That was why every movement of Lelechka's bewitched her mother.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000091_000000.wav;"Nothing made her so unhappy as the reiterations of Fedosya, uttered between sobs: ""She hid herself and hid herself, our Lelechka!""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000008_000002.wav;And all through his impassioned appeal this morning, there was a note of sadness and rebuke and stern condemnation that made many of the members pale with self accusation or with inward anger.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000059_000007.wav;'Occasionally a heavy sea would bear one of them away, and he was only saved by his chain.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000044_000000.wav;"""Yes, yes! you now assume a different tone: instead of killing, you will get killed yourself, I suppose you mean?";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000027_000003.wav;Even Fedosya felt abashed, now for her mistress, now for herself.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000011_000000.wav;"""Well, then, you know more than anyone else, be it who it may,"" said Prince Andrew.";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000028_000004.wav;There is a curate appointed to read prayers-a mr Brown.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000004_000001.wav;He went to feed on the lily pads there.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000079_000000.wav;"""Of course, you shall, Pet.";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50963\5849_50963_000005_000000.wav;And everybody was so happy.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245712\7697_245712_000003_000002.wav;This is signified by the fact that God led the animals to man, that he might give them names expressive of their respective natures.;
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000016_000001.wav;Every word she uttered only increased my admiration of the noble creature whom I had loved, and lost.;
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000013_000001.wav;"""You know-to my shame I confessed it to you the last time we met-you know that my heart, in secret, is all yours.";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000028_000002.wav;"This man had no skill in my art; but since we were perpetually day and night together, everybody thought he was a first rate craftsman.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000017_000002.wav;A white lily was not obtainable just then, but the effect of a tall blue iris placed in one of Anne's folded hands was all that could be desired.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000013_000008.wav;In other words, the only proofs Origin can bring forth against the rationalistic criticism of Celsus is, that to deny Jesus would be equivalent to denying both the Pagan and Jewish mythologies.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000002_000001.wav;She was a big shapeless woman with a round good-natured face-cheerful and vulgar as a sunflower was Aunt Jane at all times and occasions.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000019_000002.wav;The baying of the hounds grew fainter behind.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000012_000000.wav;The stream which was visible and audible inside the stern has been entirely stopped.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000042_000001.wav;And a fine affair that would be.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000028_000004.wav;If that is what he meant, why did he say something else?;
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000025_000004.wav;"If he can pay a dividend to his creditors, they will give him his freedom; and he believes he can raise the money if I consent to insure my life.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000039_000002.wav;"Don't you know Kate by this time?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\73710\1630_73710_000016_000002.wav;I do not like to say anything that can annoy you, especially at this moment, when I feel from my own heart how you must require all the support and solace of unbroken fondness.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000001_000001.wav;The Return To Greece;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000038_000000.wav;"""I'll never, never look at myself again until my hair grows,"" she exclaimed passionately.";
opus_datasets/extracted/LibriTTS_R/dev-other\4570\14911\4570_14911_000004_000003.wav;"Then how quick he is in his casts! and when he is fairly on a line, of course he sticks to it, as the saying is, ""like a beagle.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000037_000000.wav;"""I want nothing, and I won't be anyone's adjutant.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4572\64670\4572_64670_000001_000001.wav;Guha And Bharat.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000015_000002.wav;Miller's men were building horse stalls, caulking the decks, resecuring the deckhouses, putting in bolts and various small fittings.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000024_000002.wav;He repeated:   Get hence as quickly as you can, and be of good courage, for you will see your vengeance executed sooner than you expect.  I the best attention to my health, gave Pietro Pagolo advice about stamping the coins, and then went off upon my way to Rome without saying a word to the Duke or anybody else.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000080_000002.wav;"They may hear you.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000083_000000.wav;"""I want Polly to,"" said Phronsie, wriggling away from the pen that Polly held out alluringly.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\102884\1630_102884_000007_000002.wav;But this power is robbed by hosts of self seekers, and the horse is captured and stabled because of his gift of freedom over space.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000009_000000.wav;MY sickness had been of such a very serious nature that it seemed impossible for me to fling it off.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000010_000002.wav;Jason took Peleus and Telamon with him.;
opus_datasets/extracted/LibriTTS_R/dev-other\1651\136854\1651_136854_000025_000007.wav;That union scarce possible.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000120_000000.wav;The little one did not reply.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000007_000001.wav;"The fellow, though given to boasting, is not dangerous, or liable to put his threats into execution.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000059_000000.wav;"""Oh, no, Jasper,"" cried Polly, after him, ""you know Mamsie would not allow me to borrow.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000029_000001.wav;The relative strength of bodies of troops can never be known to anyone.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000023_000002.wav;Of course, there are in history great men of whose birthplaces or birthdays we are equally uncertain.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000045_000001.wav;Don't speak like that.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000039_000000.wav;mrs Bobbsey had been holding mrs McLaughlin back, but now the sailor was quite recovered, so they allowed her to speak to him.;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000037_000000.wav;'Because there I can earn bread for my family.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000015_000001.wav;"""It makes me feel frightened, girls.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000018_000001.wav;"""I say, send for some wine.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000020_000003.wav;If you were a master tradesman, would you not wish to lead and guide your brother tradesmen?;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\24733\4570_24733_000008_000000.wav;Proof.--The proof of this proposition is similar to that of the preceding one.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000058_000000.wav;"""Please speak in a sensible way,"" observed Serafima Aleksandrovna dryly.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000017_000001.wav;"Why, it's GREEN!""";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000061_000000.wav;She did not wish to hear any further as to the sort of omen it was, and what it foreboded.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000033_000001.wav;"""But what of that, child, pray?";
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000015_000002.wav;A helpless woman, with a mock husband in prison for debt!;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000012_000000.wav;So Geraint alighted, and the youth took the maiden from off her horse.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000005_000000.wav;There was quite a procession when at last the big wagon rumbled out through the gateway.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000005_000003.wav;If Dostoevsky had had less vision he would have been Strindberg.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000088_000003.wav;When Serafima Aleksandrovna, awakened by Fedosya, came to Lelechka and saw her looking so hot, so restless, and so tormented, she instantly recalled the evil omen, and a hopeless despair took possession of her from the first moments.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000034_000003.wav;"Jesus,"" he resumed, ""is the Son of God.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000017_000002.wav;Geraldine had an alabaster brow too.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000010_000000.wav;The dates seem unimportant, but throughout the period the officers and men of the ship have been unremittingly busy.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000086_000000.wav;"""Yes, Aunt Hannah, I'll come; besides""--she glanced at Bertram mischievously-""I shall need all the time I've got to prepare for-my wedding.""";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000068_000004.wav;She made a special effort that evening to occupy her mind with other matters, but her thoughts returned involuntarily to the fact that Lelechka loved to hide herself.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000038_000000.wav;"""Well, she wrote a letter.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000056_000000.wav;'I do not know exactly.;
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67803\6455_67803_000036_000000.wav;"""Lucia,"" he said, ""I wish you would let me go and talk with Lady Theobald.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000007_000000.wav;Little Tessa sat alone by the fire, waiting for her father to come home from work.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000062_000002.wav;And the Yaquis and cannibals from Tiburon is through the country.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000040_000000.wav;The first thing Chola heard when he woke up the next morning was the cook scolding the doves, who were picking out of his meal bags while he was getting breakfast ready.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000063_000003.wav;"Our stories have some weight, not like the stories of those fellows on the staff who get rewards without doing anything!""";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000024_000000.wav;"""He never lived; and for the last two thousand years or more his temple has been a heap of ruins.""";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000005_000001.wav;"""I'm not afraid to float down and I'd love to be Elaine.";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67804\6455_67804_000014_000000.wav;"""I beg you will not speak to me of that again,"" she said: ""I will not listen."" And turning about, she walked out of the room.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\101622\7601_101622_000017_000000.wav;"[""Prince, take the honours delayed for thy reign, and be successor to thy fathers; henceforth let none at Rome be slain for sport.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000033_000001.wav;However, if you are determined I will show you the way.;
opus_datasets/extracted/LibriTTS_R/dev-other\1651\136854\1651_136854_000073_000000.wav;The style of this work has been censured by some shallow criticks as involved and turgid, and abounding with antiquated and hard words.;
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245715\7697_245715_000019_000002.wav;Therefore, in the state of innocence, there was no need for women to be born.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96684\7641_96684_000014_000002.wav;Long had she been doing that wearisome labor. Admetus had known her from the first time he had come into that courtyard as a little child, and he had never seen aught in her face but a heavy misery.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000053_000000.wav;"""And Hal and his father, too,"" put in Nan.";
opus_datasets/extracted/LibriTTS_R/dev-other\7697\245712\7697_245712_000014_000000.wav;Whether Men Were Equal in the State of Innocence?;
opus_datasets/extracted/LibriTTS_R/dev-other\2506\11267\2506_11267_000009_000001.wav;Bull passes the season in London, sponging for dinners, and sleeping in a garret near his Club.;
opus_datasets/extracted/LibriTTS_R/dev-other\1651\136854\1651_136854_000050_000000.wav;This year he wrote to the same gentleman another letter, upon a mournful occasion,;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000004_000002.wav;This historical incident has about it all the rosy hues of romance.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000013_000003.wav;Every one in the Rectangle knew that Loreen was at this moment lying in the Page mansion up on the avenue. Exaggerated reports of the magnificence of the casket had already furnished material for eager gossip.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000064_000001.wav;The debate was drawing to a close, or, in fact, had gone as far as it could, without arousing the suspicion of Governor Andros.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000018_000001.wav;The immediate companions of Jesus appear to be, on the other hand, as mythical as he is himself.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000008_000005.wav;Homer wrapped the rope twice or thrice about the horn, and sat over in one stirrup to avoid the tightened line and to preserve the balance.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000015_000001.wav;All the servants rushed out.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000065_000005.wav;"There are bad women about, and they think me one.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000073_000000.wav;Billy lifted her head and sat back in palpitating dismay.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000012_000006.wav;And after they had eaten and drank, Geraint went to sleep, and so did Enid also.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000009_000000.wav;The first three weeks of November have gone with such a rush that I have neglected my diary and can only patch it up from memory.;
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67803\6455_67803_000023_000001.wav;She scarcely knew herself.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000035_000001.wav;"There's a bit I've been looking out quite a quarter of a mile farther off, and I'm going to propose it to the doctor as being safest.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000011_000001.wav;"Clean and fresh as if you'd been to a fete, not like us sinners of the line,"" cried Rostov, with martial swagger and with baritone notes in his voice, new to Boris, pointing to his own mud bespattered breeches.";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000027_000002.wav;Nor, on the other hand, was he a novelist of horrors for horrors' sake.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000031_000010.wav;No, no, Apollo is not an idol.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000034_000000.wav;"""Why have you thrown that away?"" asked Boris.";
